athleteID,name,gender,countryID
1535349,Osmar OLVERA IBARRA,M,MEX
1535852,Maximilian MAEDER,M,SGP
1536498,Tsige DUGUMA,W,ETH
1536885,Shanieka RICKETTS,W,JAM
1536998,Berihu AREGAWI,M,ETH
1537183,Jasmine CAMACHO-QUINN,W,PUR
1537325,Julien ALFRED,W,LCA
1538084,Swapnil KUSALE,M,IND
1538159,Manu BHAKER,W,IND
1538160,Yauheni ZALATY,M,AIN
1539969,Daniel WIFFEN,M,IRL
1539986,Rhys MC CLENAGHAN,M,IRL
1540334,Gor MINASYAN,M,BRN
1543304,Mona Mc SHARRY,W,IRL
1543506,Yeison LOPEZ,M,COL
1543509,Mari Leivis SANCHEZ,W,COL
1543549,David POPOVICI,M,ROU
1543963,Cassandre BEAUGRAND,W,FRA
1543967,Leo BERGERE,M,FRA
1544123,Sky BROWN,W,GBR
1544179,Emily CAMPBELL,W,GBR
1544218,Toby ROBERTS,M,GBR
1544424,Varazdat LALAYAN,M,ARM
1545116,Elodie CLOUVEL,W,FRA
1545688,Kaylia NEMOUR,W,ALG
1548948,KALEYN Boryana,W,BUL
1550148,Mihaela Valentina CAMBEI,W,ROU
1550170,Ana BARBOSU,W,ROU
1550250,Neeraj CHOPRA,M,IND
1550295,Serghei TARNOVSCHI,M,MDA
1550975,Giovanni de GENNARO,M,ITA
1551061,Alice D'AMATO,W,ITA
1551307,Akbar DJURAEV,M,UZB
1551387,Paolo MONNA,M,ITA
1551388,Federico Nilo MALDINI,M,ITA
1551443,Lasha TALAKHADZE,M,GEO
1552305,Nadia BATTOCLETTI,W,ITA
1552375,Andy DIAZ HERNANDEZ,M,ITA
1552378,Mattia FURLANI,M,ITA
1553031,Giorgio MALAN,M,ITA
1555372,Soufiane EL BAKKALI,M,MAR
1555976,Serhiy KULISH,M,UKR
1559512,Lauriane NOLOT,W,FRA
1560673,Jessica PILZ,W,AUT
1560677,Jakob SCHUBERT,M,AUT
1560762,Manila ESPOSITO,W,ITA
1563010,Sara AHMED,W,EGY
1563321,Aleksandra KALUCKA,W,POL
1563327,Aleksandra MIROSLAW,W,POL
1564023,Jenny RISSVEDS,W,SWE
1564189,Rajindra CAMPBELL,M,JAM
1564506,Yarisleidis CIRILO DUBOYS,W,CUB
1566437,Valentin BONTUS,M,AUT
1566681,Mutaz Essa BARSHIM,M,QAT
1568350,Tamara CSIPES,W,HUN
1568724,Antonino PIZZOLATO,M,ITA
1569203,Armand DUPLANTIS,M,SWE
1569563,KUO Hsing-Chun,W,TPE
1569832,Yauheni TSIKHANTSOU,M,AIN
1569852,LEE Meng Yuan,M,TPE
1569972,Balint KOPASZ,M,HUN
1570863,Adam VARGA,M,HUN
1571559,Yaroslava MAHUCHIKH,W,UKR
1571563,Mykhaylo KOKHAN,M,UKR
1571577,Iryna GERASHCHENKO,W,UKR
1572557,Sarah SJOESTROEM,W,SWE
1572919,Victor LINDGREN,M,SWE
1572953,Daria PIKULIK,W,POL
1573098,Natalia KACZMAREK,W,POL
1573388,Lindon VICTOR,M,GRN
1573418,Anderson PETERS,M,GRN
1786902,SEONG Seungmin,W,KOR
1878037,TANG Chia-Hung,M,TPE
1878353,Markus ROOTH,M,NOR
1878563,Arshad NADEEM,M,PAK
1878602,Line Flem HOEST,W,NOR
1878625,Solfrid Eila Amena KOANDA,W,NOR
1878715,Josef DOSTAL,M,CZE
1878716,Martin FUKSA,M,CZE
1880464,Titouan CASTRYCK,M,FRA
1880479,Nicolas GESTIN,M,FRA
1880483,Angele HUG,W,FRA
