medalType,eventName,sportCode,athleteID,date
Bronze Medal,Men's 20km Race Walk,ATH,1904165,2024-08-01
Bronze Medal,Women's 20km Race Walk,ATH,1939791,2024-08-01
Gold Medal,Men's 20km Race Walk,ATH,1929767,2024-08-01
Gold Medal,Women's 20km Race Walk,ATH,1919002,2024-08-01
Silver Medal,Men's 20km Race Walk,ATH,1951928,2024-08-01
Silver Medal,Women's 20km Race Walk,ATH,1905369,2024-08-01
Bronze Medal,"Men's 10000m",ATH,1960959,2024-08-02
Gold Medal,"Men's 10000m",ATH,1970827,2024-08-02
Silver Medal,"Men's 10000m",ATH,1536998,2024-08-02
Bronze Medal,Men's Decathlon,ATH,1573388,2024-08-03
Bronze Medal,Men's Shot Put,ATH,1564189,2024-08-03
Bronze Medal,Women's 100m,ATH,1961011,2024-08-03
Bronze Medal,Women's Triple Jump,ATH,1965250,2024-08-03
Gold Medal,Men's Decathlon,ATH,1878353,2024-08-03
Gold Medal,Men's Shot Put,ATH,1960688,2024-08-03
Gold Medal,Women's 100m,ATH,1537325,2024-08-03
Gold Medal,Women's Triple Jump,ATH,1908333,2024-08-03
Silver Medal,Men's Decathlon,ATH,1920180,2024-08-03
Silver Medal,Men's Shot Put,ATH,1965246,2024-08-03
Silver Medal,Women's 100m,ATH,1960181,2024-08-03
Silver Medal,Women's Triple Jump,ATH,1536885,2024-08-03
Bronze Medal,Men's 100m,ATH,1960958,2024-08-04
Bronze Medal,Men's Hammer Throw,ATH,1571563,2024-08-04
Bronze Medal,Women's High Jump,ATH,1571577,2024-08-04
Bronze Medal,Women's High Jump,ATH,1939763,2024-08-04
Gold Medal,Men's 100m,ATH,1960173,2024-08-04
Gold Medal,Men's Hammer Throw,ATH,1974151,2024-08-04
Gold Medal,Women's High Jump,ATH,1571559,2024-08-04
Silver Medal,Men's 100m,ATH,1980161,2024-08-04
Silver Medal,Men's Hammer Throw,ATH,1916814,2024-08-04
Silver Medal,Women's High Jump,ATH,1939838,2024-08-04
Bronze Medal,Men's Pole Vault,ATH,1961218,2024-08-05
Bronze Medal,Women's 5000m,ATH,1972105,2024-08-05
Bronze Medal,Women's 800m,ATH,1928047,2024-08-05
Bronze Medal,Women's Discus Throw,ATH,1922205,2024-08-05
Gold Medal,Men's Pole Vault,ATH,1569203,2024-08-05
Gold Medal,Women's 5000m,ATH,1910560,2024-08-05
Gold Medal,Women's 800m,ATH,1924429,2024-08-05
Gold Medal,Women's Discus Throw,ATH,1960721,2024-08-05
Silver Medal,Men's Pole Vault,ATH,1960178,2024-08-05
Silver Medal,Women's 5000m,ATH,1910451,2024-08-05
Silver Medal,Women's 800m,ATH,1536498,2024-08-05
Silver Medal,Women's Discus Throw,ATH,1919067,2024-08-05
Bronze Medal,Men's 1500m,ATH,1965327,2024-08-06
Bronze Medal,Men's Long Jump,ATH,1552378,2024-08-06
Bronze Medal,Women's 200m,ATH,1960588,2024-08-06
Bronze Medal,Women's 3000m Steeplechase,ATH,1910453,2024-08-06
Bronze Medal,Women's Hammer Throw,ATH,1919077,2024-08-06
Gold Medal,Men's 1500m,ATH,1960933,2024-08-06
Gold Medal,Men's Long Jump,ATH,1961246,2024-08-06
Gold Medal,Women's 200m,ATH,1965868,2024-08-06
Gold Medal,Women's 3000m Steeplechase,ATH,1926102,2024-08-06
Gold Medal,Women's Hammer Throw,ATH,1974290,2024-08-06
Silver Medal,Men's 1500m,ATH,1924440,2024-08-06
Silver Medal,Men's Long Jump,ATH,1938899,2024-08-06
Silver Medal,Women's 200m,ATH,1537325,2024-08-06
Silver Medal,Women's 3000m Steeplechase,ATH,1971686,2024-08-06
Silver Medal,Women's Hammer Throw,ATH,1960899,2024-08-06
