sportCode,sportName
BK3,3x3 Basketball
ATH,Athletics
ARC,Archery
GAR,Artistic Gymnastics
SWA,Artistic Swimming
BDM,Badminton
VBV,Beach Volleyball
BKB,Basketball
BOX,Boxing
BKG,Breaking
CSL,Canoe Slalom
CSP,Canoe Sprint
BMF,Cycling BMX Freestyle
BMX,Cycling BMX Racing
MTB,Cycling Mountain Bike
CRD,Cycling Road
CTR,Cycling Track
DIV,Diving
EQU,Equestrian
FEN,Fencing
FBL,Football
GLF,Golf
HBL,Handball
HOC,Hockey
JUD,Judo
OWS,Marathon Swimming
MPN,Modern Pentathlon
GRY,Rhythmic Gymnastics
ROW,Rowing
RU7,Rugby Sevens
SAL,Sailing
SHO,Shooting
SKB,Skateboarding
CLB,Sport Climbing
SRF,Surfing
SWM,Swimming
TKW,Taekwondo
TTE,Table Tennis
TEN,Tennis
TRI,Triathlon
GTR,Trampoline Gymnastics
VVO,Volleyball
WLF,Weightlifting
WPO,Water Polo
WRE,Wrestling
